symbol,company_name,quarter,year,event_year,call_datetime,call_phase,gics_sector,abnormal_return_5d,beta_abnormal_return_5d,momentum_5d,momentum_20d,volatility_20d,market_momentum_20d,beta_120d,pres_pos,pres_neg,qa_pos,qa_neg,pres_net_sentiment,qa_net_sentiment,sentiment_mismatch_pos,sentiment_mismatch_neg,pres_sent_mean,pres_sent_std,pres_sent_p10,pres_sent_p90,pres_pos_mean,pres_neg_mean,pres_neutral_mean,pres_pos_frac,pres_neg_frac,pres_entropy,pres_begin_mean,pres_middle_mean,pres_end_mean,pres_slope,pres_n_sentences,qa_sent_mean,qa_sent_std,qa_sent_p10,qa_sent_p90,qa_pos_mean,qa_neg_mean,qa_neutral_mean,qa_pos_frac,qa_neg_frac,qa_entropy,qa_begin_mean,qa_middle_mean,qa_end_mean,qa_slope,qa_n_sentences,qa_minus_pres_sent_mean,qa_minus_pres_sent_std,qa_minus_pres_entropy,qa_minus_pres_neg_frac,qa_minus_pres_pos_frac,qa_minus_pres_slope,pres_lm_negative_rate,pres_lm_positive_rate,pres_lm_uncertainty_rate,pres_lm_litigious_rate,pres_lm_strongmodal_rate,pres_lm_weakmodal_rate,pres_lm_constraining_rate,pres_lm_complexity_rate,pres_lm_token_count,qa_lm_negative_rate,qa_lm_positive_rate,qa_lm_uncertainty_rate,qa_lm_litigious_rate,qa_lm_strongmodal_rate,qa_lm_weakmodal_rate,qa_lm_constraining_rate,qa_lm_complexity_rate,qa_lm_token_count,qa_minus_pres_lm_negative_rate,qa_minus_pres_lm_positive_rate,qa_minus_pres_lm_uncertainty_rate,qa_minus_pres_lm_litigious_rate,qa_minus_pres_lm_strongmodal_rate,qa_minus_pres_lm_weakmodal_rate,qa_minus_pres_lm_constraining_rate,qa_minus_pres_lm_complexity_rate,pres_sent_mean_z,pres_sent_mean_history_count,qa_sent_mean_z,qa_sent_mean_history_count,pres_entropy_z,pres_entropy_history_count,qa_entropy_z,qa_entropy_history_count,pres_neg_frac_z,pres_neg_frac_history_count,qa_neg_frac_z,qa_neg_frac_history_count,pres_slope_z,pres_slope_history_count,qa_slope_z,qa_slope_history_count,eps_mention_count,eps_mention_rate,beat_language_count,miss_language_count,above_expectations_count,below_expectations_count,guidance_up_count,guidance_down_count,guidance_maintained_count,forward_language_count,label
ADP,"Automatic Data Processing, Inc.",4,2020,2020,2020-07-29 08:30:00,pre_open,Industrials,-0.0949399415978505,-0.0957456619783584,-0.003059384502526,0.0018440409144273,0.0116133901483311,0.0541064415834517,1.176289994777958,0.382568955908241,0.2985172408619535,0.2287553503267206,0.1542254765000008,0.0840517150462875,0.0745298738267198,0.1538136055815203,0.1442917643619527,0.0840517150462874,0.6982937713210187,-0.9554242624518496,0.9273304009776884,0.382568955908241,0.2985172408619535,0.3189138032298055,0.6421568627450981,0.3578431372549019,0.4065833892605107,0.1166335506525598,0.2422773202238684,-0.1067557257375661,-0.1861355483678523,204.0,0.0745298738267198,0.4216206361052052,-0.5221316877066692,0.7007677782259896,0.2287553503267206,0.1542254765000008,0.6170191731732785,0.6737804878048781,0.3262195121951219,0.5470756852012513,0.0761464465780041,0.1042975983777256,0.0431307455817574,-0.0264427172575072,328.0,-0.0095218412195675,-0.2766731352158134,0.1404922959407405,-0.03162362505978,0.03162362505978,0.1596928311103451,0.0190185489551537,0.0152617985442592,0.0105658605306409,0.0021131721061281,0.0049307349142991,0.0018783752054472,0.0016435783047663,0.0009391876027236,4259.0,0.0141745091204833,0.0110375275938189,0.0132450331125827,0.0004647380039502,0.0039502730335773,0.006971070059254,0.0012780295108632,0.0009294760079005,8607.0,-0.0048440398346704,-0.0042242709504402,0.0026791725819417,-0.0016484341021779,-0.0009804618807218,0.0050926948538068,-0.0003655487939031,-9.711594823098031e-06,-0.4444319794124824,17.0,-2.4759104847746767,17.0,1.001066451434539,17.0,1.835504825167178,17.0,0.9049806419806248,17.0,2.3291592723695014,17.0,-2.980247412336356,17.0,0.4204075292408395,17.0,6.0,0.0004663454064977,0.0,0.0,5.0,0.0,0.0,1.0,0.0,78.0,0
ADP,"Automatic Data Processing, Inc.",3,2020,2020,2020-04-29 08:30:00,pre_open,Industrials,0.0178857080614101,0.018580687956556,0.0703539965054367,0.0376575104664005,0.0334375400882853,0.0901300131483577,1.163456662783227,0.3316057585297809,0.2635142525741766,0.2455760172224428,0.1282063491795307,0.0680915059556043,0.1173696680429121,0.086029741307338,0.1353079033946458,0.0680915059556042,0.641434981564193,-0.9415205343452876,0.9095298163190134,0.3316057585297809,0.2635142525741766,0.4048799888960425,0.6363636363636364,0.3636363636363636,0.4411783077487948,0.1707525994823397,0.1710268672376254,-0.1375049488531521,-0.1543699633242288,132.0,0.117369668042912,0.4098322667760374,-0.4028741392685329,0.7620094633441534,0.2455760172224428,0.1282063491795307,0.6262176335980264,0.7119341563786008,0.2880658436213992,0.5485841054412505,0.1343563433674625,0.0853224132915733,0.1324302474697004,-0.0103651228606237,243.0,0.0492781620873078,-0.2316027147881555,0.1074057976924556,-0.0755705200149644,0.0755705200149644,0.144004840463605,0.0155038759689922,0.010031919744642,0.0093479252165982,0.0022799817601459,0.0070679434564523,0.0027359781121751,0.0020519835841313,0.0018239854081167,4386.0,0.0156060809901789,0.0114354903807345,0.0080721108569891,0.000672675904749,0.0057850127808421,0.0045741961522938,0.000672675904749,0.0002690703618996,7433.0,0.0001022050211866,0.0014035706360925,-0.0012758143596091,-0.0016073058553968,-0.0012829306756101,0.0018382180401187,-0.0013793076793822,-0.001554915046217,-0.540533135656646,16.0,-2.089342242336319,16.0,1.6987093958567738,16.0,2.2553167931311178,16.0,1.0031068092047986,16.0,1.5033822502830405,16.0,-3.289615725198209,16.0,0.5909652281193141,16.0,3.0,0.0002538285810982,0.0,0.0,7.0,1.0,0.0,4.0,0.0,60.0,1
ADP,"Automatic Data Processing, Inc.",3,2023,2023,2023-04-26 08:30:00,pre_open,Industrials,0.0111343061655528,0.0184312278696459,-0.0259064428521199,-0.012455809364105,0.0118973911737655,0.0236578612411531,0.968322519870491,0.5681000881576037,0.107113953765135,0.2659088805868395,0.0793018311637405,0.4609861343924687,0.1866070494230989,0.3021912075707642,0.0278121226013944,0.4609861343924687,0.5507095221503873,-0.3091068303130365,0.9342853812259452,0.5681000881576037,0.107113953765135,0.3247859580772612,0.8651685393258427,0.1348314606741573,0.3822384700077132,0.480877409984781,0.5200424365937246,0.3793162263301569,-0.0251397848348201,89.0,0.1866070494230989,0.3745650508727034,-0.0689007374353723,0.8043879113817451,0.2659088805868395,0.0793018311637405,0.6547892882494201,0.8077803203661327,0.1922196796338672,0.5007971280373457,0.1921671334021501,0.1925991999847436,0.1749751442993636,-0.0129607937055716,437.0,-0.2743790849693698,-0.1761444712776838,0.1185586580296324,0.0573882189597099,-0.05738821895971,0.0121789911292485,0.0043625787687833,0.0261754726126999,0.0092098885118759,0.0004847309743092,0.0072709646146388,0.0024236548715462,0.0009694619486185,0.0009694619486185,2063.0,0.0046664144280489,0.0184134190944633,0.0081977550763021,0.0005044772354647,0.0059276075167108,0.0064320847521755,0.0005044772354647,0.0027746247950561,7929.0,0.0003038356592656,-0.0077620535182365,-0.0010121334355737,1.974626115549123e-05,-0.001343357097928,0.0040084298806292,-0.0004649847131537,0.0018051628464376,1.348219447604417,19.0,-0.4457656182445487,19.0,0.4751546428602934,19.0,-0.5203840030155005,19.0,-0.6709830342969271,19.0,-1.1102935888346643,19.0,-0.2947276548860717,19.0,0.4981450491342933,19.0,3.0,0.0003002401921537,0.0,0.0,0.0,0.0,5.0,2.0,0.0,47.0,1
ADP,"Automatic Data Processing, Inc.",1,2023,2022,2022-10-26 08:30:00,pre_open,Industrials,0.0255108639970775,0.0189491896370244,0.0116584211749806,0.0445479229439356,0.018282330924157,0.0580760142710836,0.9433983853224168,0.4590061193761575,0.0569627728065223,0.2606199320500729,0.1137898288885344,0.4020433465696351,0.1468301031615385,0.1983861873260846,-0.056827056082012,0.4020433465696351,0.437772283681365,-0.0016401581500036,0.9328836073359352,0.4590061193761575,0.0569627728065223,0.4840311078173201,0.895,0.105,0.4528667397836037,0.1728579782102644,0.4682762401526055,0.5674647982365869,0.3140158017456707,200.0,0.1468301031615385,0.4119934068428149,-0.268269717906089,0.7936362075542831,0.2606199320500729,0.1137898288885344,0.6255902390613927,0.7156862745098039,0.284313725490196,0.5221804561553585,0.1450342803154351,0.0810352074448005,0.2144208217243799,0.0145128334074283,408.0,-0.2552132434080965,-0.0257788768385501,0.0693137163717547,0.179313725490196,-0.179313725490196,-0.2995029683382423,0.0035460992907801,0.0229314420803782,0.0075650118203309,0.0,0.0040189125295508,0.0028368794326241,0.0009456264775413,0.001418439716312,4230.0,0.0075996726294867,0.015667017420788,0.0088857710744767,0.0010522623640827,0.0050274757395066,0.0051443937799602,0.0007015082427218,0.0011691804045364,8553.0,0.0040535733387065,-0.0072644246595902,0.0013207592541458,0.0010522623640827,0.0010085632099557,0.0023075143473361,-0.0002441182348195,-0.0002492593117756,1.126518144449924,18.0,-1.0569486116619442,18.0,1.6414839773944343,18.0,0.4941565061676999,18.0,-0.9272384566575128,18.0,1.025953112953688,18.0,4.386770502501568,18.0,0.7933467786167596,18.0,3.0,0.0002346866932644,1.0,1.0,2.0,0.0,3.0,0.0,1.0,55.0,1
ALLE,Allegion plc,3,2020,2020,2020-10-22 08:00:00,pre_open,Industrials,-0.02467955977571,-0.0059895452758997,-0.005551175872641,0.0894410174846731,0.0139461332658543,0.0613670222041473,1.2647191830290787,0.426443273458388,0.1984008981981,0.3051915204413504,0.1033220770685827,0.2280423752602879,0.2018694433727676,0.1212517530170376,0.0950788211295173,0.228042375260288,0.6544192923397639,-0.9532426705330124,0.9263994711436868,0.426443273458388,0.1984008981981,0.3751558283435119,0.7023809523809523,0.2976190476190476,0.3606521945221032,0.3363032599798577,0.1642269311563303,0.183596934644676,-0.0265535085594969,168.0,0.2018694433727676,0.4303955272351906,-0.2028374052703383,0.8750815814643004,0.3051915204413504,0.1033220770685827,0.591486402490067,0.7396226415094339,0.260377358490566,0.5124472273091836,0.1636845297866345,0.1948702190580968,0.2474875007461411,0.058323882489301,265.0,-0.0261729318875204,-0.2240237651045733,0.1517950327870804,-0.0372416891284815,0.0372416891284815,0.0848773910487979,0.0137382501807664,0.0195227765726681,0.007230657989877,0.0007230657989877,0.0075921908893709,0.0018076644974692,0.0046999276934201,0.0039768618944323,2766.0,0.0080321285140562,0.0213485521031494,0.0116254491650813,0.0002113718030014,0.004861551469034,0.0076093849080532,0.0010568590150073,0.0008454872120059,4731.0,-0.0057061216667102,0.0018257755304813,0.0043947911752043,-0.0005116939959862,-0.0027306394203369,0.0058017204105839,-0.0036430686784127,-0.0031313746824264,0.6694177181486528,21.0,-1.498645174836727,21.0,1.370571152430778,21.0,1.2363345885726955,21.0,0.2822096165562168,21.0,0.9033782313043864,21.0,-0.4793233226264457,21.0,1.5184379180608203,21.0,10.0,0.0013338668800853,0.0,1.0,0.0,0.0,2.0,0.0,0.0,22.0,0
ALLE,Allegion plc,2,2020,2020,2020-07-23 08:00:00,pre_open,Industrials,-0.1145260721308017,-0.1157326184970689,0.0449439218768665,0.0870837413157268,0.0184105201139732,0.0462205604282131,1.0709136808094708,0.3120723831169025,0.2882687992162567,0.3018189209269207,0.1039060787168623,0.0238035839006457,0.1979128422100584,0.0102534621899817,0.1843627204993944,0.0238035839006457,0.677511823560346,-0.9649791192214476,0.9227209863000064,0.3120723831169025,0.2882687992162567,0.3996588176668407,0.6021505376344086,0.3978494623655914,0.362663331489473,0.2364951260757663,-0.1983420174310156,0.0332576430571866,-0.0928826559633564,186.0,0.1979128422100584,0.4241204124964226,-0.2408591079524237,0.8667298518125897,0.3018189209269207,0.1039060787168623,0.5942750003562168,0.7718446601941747,0.2281553398058252,0.5223156771190381,0.2174957884612587,0.1742102966073326,0.2020930239049887,-0.0184936416867266,206.0,0.1741092583094126,-0.2533914110639234,0.1596523456295651,-0.1696941225597661,0.1696941225597661,0.0743890142766298,0.0224646983311938,0.0170089858793324,0.0054557124518613,0.0012836970474967,0.0089858793324775,0.0009627727856225,0.0035301668806161,0.0025673940949935,3116.0,0.0113733905579399,0.0221030042918454,0.0141630901287553,0.0010729613733905,0.0083690987124463,0.0092274678111587,0.0017167381974248,0.0008583690987124,4660.0,-0.0110913077732539,0.005094018412513,0.008707377676894,-0.0002107356741062,-0.0006167806200311,0.0082646950255362,-0.0018134286831912,-0.0017090249962811,-0.6309334288676667,20.0,-1.7307041634551503,20.0,1.5331078554685282,20.0,1.647207522259,20.0,0.784732364838285,20.0,0.0321133198952419,20.0,-1.3588942615845483,20.0,0.5360826587655015,20.0,11.0,0.0014146090534979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0
ALLE,Allegion plc,4,2021,2022,2022-02-15 08:00:00,pre_open,Industrials,-0.0187167679523933,-0.0146393598911908,-0.017682215187408,-0.0492528559522034,0.0182396744579717,-0.0560129899763517,0.9335399306211688,0.0280381701446161,0.023768942228725,0.362559764935196,0.1681347592823512,0.004269227915891,0.1944250056528448,-0.3345215947905799,-0.1443658170536262,0.004269227915891,0.0100301107079893,-0.0059566715277235,0.0127933133686909,0.0280381701446161,0.023768942228725,0.9481928876266588,0.6666666666666666,0.3333333333333333,0.2384455733885385,0.0138607009876316,-0.0095767801328865,0.008523762892928,-0.0026684690473518,3.0,0.1944250056528447,0.5609002795788028,-0.8679064407253966,0.9227364458128108,0.362559764935196,0.1681347592823512,0.4693054757824528,0.6985981308411215,0.3014018691588785,0.4509516336971972,0.060482011392079,0.2711158291994782,0.2520803606677806,0.1085344273005796,428.0,0.1901557777369536,0.5508701688708134,0.2125060603086586,-0.0319314641744548,0.0319314641744549,0.1112028963479314,0.0,0.0,0.0217391304347826,0.0,0.0,0.0,0.0,0.0,46.0,0.0118321541839473,0.0234203464259575,0.0075628202000487,0.0004879238838741,0.0080507440839229,0.004391314954867,0.0018297145645279,0.0034154671871188,8198.0,0.0118321541839473,0.0234203464259575,-0.0141763102347338,0.0004879238838741,0.0080507440839229,0.004391314954867,0.0018297145645279,0.0034154671871188,-0.773895605462205,22.0,-1.5364184882793854,22.0,-1.478706207722217,22.0,-0.5202177305233666,22.0,0.447887212318814,22.0,1.9829933035184,22.0,-0.1760030529777414,22.0,2.044336444007753,22.0,14.0,0.0016982047549733,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0
ALLE,Allegion plc,3,2022,2022,2022-10-27 08:00:00,pre_open,Industrials,0.0665955766573432,0.0683798344258303,0.0566712104437558,0.06023945956681,0.0238801203693508,0.0299970039101467,0.9926001835496006,0.488714790719294,0.1674801107277192,0.3924513467897238,0.088447887770504,0.3212346799915748,0.3040034590192197,0.0962634439295702,0.0790322229572152,0.3212346799915747,0.6321053556188962,-0.9021643373533124,0.9351135365700686,0.488714790719294,0.1674801107277192,0.3438050985529867,0.7328767123287672,0.2671232876712329,0.3582749458215891,0.3464910911571535,0.3561512813221982,0.2598080630683684,0.0668217072903158,146.0,0.3040034590192198,0.4395922748968194,-0.0670469668419058,0.9018525056794264,0.3924513467897238,0.088447887770504,0.519100765439772,0.7974683544303798,0.2025316455696202,0.5119336529856346,0.2893377991048053,0.2847199926425459,0.3386054531235984,0.0190281044631594,158.0,-0.0172312209723549,-0.1925130807220768,0.1536587071640455,-0.0645916421016126,0.0645916421016126,-0.0477936028271564,0.0090712742980561,0.0250539956803455,0.0064794816414686,0.0004319654427645,0.0047516198704103,0.0004319654427645,0.0017278617710583,0.0038876889848812,2315.0,0.0105110547299746,0.0282711127220007,0.0061616527727437,0.0,0.0039869517941283,0.0036245016310257,0.0014498006524102,0.0010873504893077,2759.0,0.0014397804319184,0.0032171170416551,-0.0003178288687249,-0.0004319654427645,-0.000764668076282,0.0031925361882611,-0.000278061118648,-0.0028003384955734,1.2128375499139104,25.0,0.6346018432295907,25.0,1.0904060261279815,25.0,1.162832362370675,25.0,0.090560769925822,25.0,-0.7934639605706794,25.0,0.4757726043030112,25.0,0.7651387169524246,25.0,12.0,0.0023649980291683,0.0,0.0,0.0,0.0,3.0,1.0,1.0,28.0,1
ALLE,Allegion plc,2,2022,2022,2022-07-30 08:00:00,pre_open,Industrials,-0.0365307386937882,-0.0347176851195555,0.0223425200147944,0.0796730845833491,0.0160386066712131,0.09111639173021,0.82809915179454,0.4129473847903548,0.1742871183898472,0.3420680856588945,0.1162126162068393,0.2386602664005075,0.2258554694520552,0.0708792991314603,0.0580745021830079,0.2386602664005076,0.6138490071814859,-0.9193114825840047,0.9312156101861064,0.4129473847903548,0.1742871183898472,0.4127654968197978,0.6763005780346821,0.3236994219653179,0.3922130360105815,0.2930152223183651,0.2683136454703647,0.1531781009744122,-0.0158644247010795,173.0,0.2258554694520552,0.4649157708205016,-0.1933417164657413,0.8970772741525772,0.3420680856588945,0.1162126162068393,0.5417192981342661,0.7387387387387387,0.2612612612612612,0.5033221456604519,0.217485223896249,0.2242630641212531,0.2358181203386634,0.016178270195511,111.0,-0.0128047969484524,-0.1489332363609843,0.1111091096498703,-0.0624381607040566,0.0624381607040566,0.0320426948965906,0.0086355785837651,0.0252158894645941,0.0065630397236614,0.0003454231433506,0.0062176165803108,0.0006908462867012,0.0010362694300518,0.0048359240069084,2895.0,0.0089473684210526,0.0189473684210526,0.0084210526315789,0.0,0.0063157894736842,0.0047368421052631,0.001578947368421,0.0010526315789473,1900.0,0.0003117898372875,-0.0062685210435414,0.0018580129079174,-0.0003454231433506,9.817289337332984e-05,0.0040459958185619,0.0005426779383692,-0.003783292427961,0.7016537135731749,24.0,-0.8811969421948784,24.0,1.9832892526885595,24.0,0.9531817805212692,24.0,0.3886927685010811,24.0,0.7833023988611909,24.0,-0.3980575596943431,24.0,0.7534377260376987,24.0,16.0,0.0033368091762252,3.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0
ALLE,Allegion plc,1,2022,2022,2022-04-26 08:00:00,pre_open,Industrials,0.0332829908932517,0.0310078753122323,0.0761724670339381,0.0215492923966209,0.0175154102993269,-0.0543554208444004,0.8433072612168455,0.4722003096057171,0.1665637593683762,0.424074130542421,0.1120724277632676,0.3056365502373409,0.3120017027791534,0.048126179063296,0.0544913316051085,0.3056365502373409,0.6339442569947732,-0.903488675756364,0.9365128119755984,0.4722003096057171,0.1665637593683762,0.3612359310259067,0.7133333333333334,0.2866666666666667,0.3424273340796852,0.2975687837697077,0.0351549294006458,0.5841859375416693,0.2919843035283812,150.0,0.3120017027791534,0.5012866360981072,-0.1839776307191982,0.9291196082261584,0.424074130542421,0.1120724277632676,0.4638534416943112,0.776,0.224,0.4856757736021745,0.3606579093993695,0.2938002347228257,0.2808041657137068,-0.0413537153214413,125.0,0.0063651525418125,-0.132657620896666,0.1432484395224892,-0.0626666666666666,0.0626666666666666,-0.3333380188498225,0.0093572009764035,0.0240032546786004,0.0061025223759153,0.000406834825061,0.0085435313262815,0.000406834825061,0.0024410089503661,0.0056956875508543,2458.0,0.0066769388803287,0.0261941448382126,0.0118130457113507,0.0,0.002568053415511,0.0061633281972265,0.0,0.0005136106831022,1947.0,-0.0026802620960748,0.0021908901596121,0.0057105233354354,-0.000406834825061,-0.0059754779107704,0.0057564933721654,-0.0024410089503661,-0.0051820768677521,1.1861012394300623,23.0,0.7723565033407622,23.0,0.914093731343036,23.0,0.4632276015881396,23.0,0.2070134994895528,23.0,-0.1970045729827874,23.0,3.490501789893776,23.0,0.0570951514205475,23.0,17.0,0.0038592508513053,2.0,1.0,0.0,0.0,5.0,0.0,0.0,26.0,1
