n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,feature_block,model,split,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,calibration_mae,mean_fold_auc,mean_fold_log_loss,fold_count,evaluation_stage,auc_lower_95,auc_upper_95
53,0.660377358490566,0.5660377358490566,0.6174603174603175,0.22951943856495616,0.6810301575726022,0.24409437720749358,0.6730158730158731,0.7788990665978271,sentence_sentiment,xgboost_depth1_trees200,walk_forward_2019,0.07601518238802732,0.07401518238802732,0.035683768543501505,-0.04033141384452581,0.7,10,10,0.22121836131269285,,,,selected_config,,
74,0.43243243243243246,0.581081081081081,0.5714285714285714,0.14344536491154822,0.6762516124007136,0.24177731850364195,0.5959821428571429,0.5442744049656327,sentence_sentiment,xgboost_depth1_trees200,walk_forward_2020,0.01829931870636762,0.016299318706367617,-0.0015249646092501841,-0.019824283315617804,0.5,14,14,0.07329811987422762,,,,selected_config,,
66,0.6363636363636364,0.5757575757575758,0.5059523809523809,0.013363062095621218,0.6526618974829425,0.23073658563422728,0.5724206349206349,0.7300572495472446,sentence_sentiment,xgboost_depth1_trees200,walk_forward_2021,0.03729440067863773,0.035294400678637726,0.03842051314562139,0.0011261124669836686,0.8461538461538461,13,13,0.1383562596289666,,,,selected_config,,
83,0.5301204819277109,0.6385542168674698,0.6372377622377623,0.2744755244755245,0.6797860852049347,0.24311966096177925,0.6136363636363636,0.5970418448710689,sentence_sentiment,xgboost_depth1_trees200,walk_forward_2022,0.02746793014998337,0.025467930149983373,0.014311869420226254,-0.013156060729757117,0.4375,16,16,0.14907004938406104,,,,selected_config,,
276,0.5543478260869565,0.5942028985507246,0.5925394548063128,0.1842194809783377,0.6725911158510307,0.23998576113388892,0.612944364737765,0.6452817169933733,sentence_sentiment,xgboost_depth1_trees200,walk_forward_aggregate,0.03259378154829612,0.030593781548296117,0.017320689769937798,-0.015273091778358323,0.6181818181818182,55,55,0.06494322979605041,0.6137637536075037,0.6724324381652982,4.0,selected_config,,
53,0.660377358490566,0.5849056603773585,0.6047619047619047,0.19877173863915526,0.6768754791208563,0.24117088593890695,0.6492063492063491,0.769648883886307,historical_surprise,xgboost_depth1_trees200,walk_forward_2019,0.035517756423757235,0.03351775642375723,0.025485754139309112,-0.01003200228444812,0.7,10,10,0.1738841246474873,,,,selected_config,,
74,0.43243243243243246,0.6216216216216216,0.6108630952380952,0.22373280323606382,0.6670113098983261,0.23632810961139822,0.640625,0.5957113764808359,historical_surprise,xgboost_depth1_trees200,walk_forward_2020,0.00829554526098075,0.0062955452609807505,0.0007671800649591712,-0.007528365196021579,0.5714285714285714,14,14,0.05861788846197583,,,,selected_config,,
66,0.6363636363636364,0.6515151515151515,0.5654761904761905,0.16903085094570333,0.6337217548433555,0.22135244342792973,0.6339285714285714,0.7405374760139962,historical_surprise,xgboost_depth1_trees200,walk_forward_2021,0.016115479928478692,0.014115479928478692,0.009991391282061595,-0.006124088646417095,0.6923076923076923,13,13,0.06773704565488377,,,,selected_config,,
83,0.5301204819277109,0.5421686746987951,0.5419580419580419,0.08376976107779828,0.6978724695740269,0.2521040697306103,0.5530303030303031,0.5600682650866428,historical_surprise,xgboost_depth1_trees200,walk_forward_2022,0.03820846425028976,0.03620846425028976,0.016099410992125036,-0.022109053258164722,0.5,16,16,0.10671618089956399,,,,selected_config,,
276,0.5543478260869565,0.5978260869565217,0.5934162282799298,0.18668866870526707,0.6702256815948812,0.23842114536191866,0.6286731494765929,0.6550936773032561,historical_surprise,xgboost_depth1_trees200,walk_forward_aggregate,0.029055028861435746,0.027055028861435744,0.014755852519412633,-0.014299176342023115,0.6545454545454545,55,55,0.05845662720791704,0.6191975559163059,0.6688702533591412,4.0,selected_config,,
53,0.660377358490566,0.5283018867924528,0.5484126984126985,0.09212021448720362,0.7030934852474974,0.2547463036435925,0.5436507936507937,0.7306296936758299,earnings_language_proxy,xgboost_depth2_trees100,walk_forward_2019,0.0020004621703763464,4.6217037634639635e-07,0.020891639626388438,0.01889117745601209,0.8,10,10,0.16721906076778065,,,,selected_config,,
74,0.43243243243243246,0.5135135135135135,0.5453869047619048,0.10126242384638613,0.6977951869883141,0.2522914598372781,0.5747767857142858,0.520327550526003,earnings_language_proxy,xgboost_depth2_trees100,walk_forward_2020,0.023762797886753714,0.021762797886753713,0.010447871627510052,-0.013314926259243662,0.5714285714285714,14,14,0.10869955829211644,,,,selected_config,,
66,0.6363636363636364,0.5151515151515151,0.4851190476190476,-0.029300451933655963,0.7073659987757303,0.25692289341936586,0.443452380952381,0.5961764091940657,earnings_language_proxy,xgboost_depth2_trees100,walk_forward_2021,-0.012099931937634653,-0.014099931937634654,0.013168073074501655,0.02526800501213631,0.46153846153846156,13,13,0.17816040227701374,,,,selected_config,,
83,0.5301204819277109,0.6385542168674698,0.62995337995338,0.2720698004572115,0.6598655993305441,0.2335658118614856,0.6824009324009324,0.6965342156369816,earnings_language_proxy,xgboost_depth2_trees100,walk_forward_2022,0.021445871804774357,0.019445871804774355,0.007634054369421455,-0.0138118174353529,0.6875,16,16,0.08886298467131223,,,,selected_config,,
276,0.5543478260869565,0.5543478260869565,0.5414474732982624,0.08502476379855022,0.6896949247061086,0.24823911402626972,0.5411552154737234,0.5904976458729746,earnings_language_proxy,xgboost_depth2_trees100,walk_forward_aggregate,0.007604729055513994,0.005604729055513994,0.007835844431418921,0.0002311153759049273,0.5636363636363636,55,55,0.044712144261199946,0.5610702231795982,0.6920300675855215,4.0,selected_config,,
53,0.660377358490566,0.5849056603773585,0.6182539682539683,0.2259911584126674,0.6726214339525746,0.23967415986388763,0.6793650793650794,0.7951739182476527,sentence_plus_historical,xgboost_depth1_trees100,walk_forward_2019,0.033743564333632806,0.031743564333632804,0.0274915359021956,-0.006252028431437208,0.7,10,10,0.18625073963945563,,,,selected_config,,
74,0.43243243243243246,0.6081081081081081,0.5989583333333333,0.19873159930454073,0.6725229891770663,0.23980726733096872,0.5959821428571428,0.5722431146746827,sentence_plus_historical,xgboost_depth1_trees100,walk_forward_2020,0.021806193987805006,0.019806193987805004,0.002522083454371336,-0.01928411053343367,0.5714285714285714,14,14,0.07209188512393408,,,,selected_config,,
66,0.6363636363636364,0.6363636363636364,0.5446428571428571,0.11978935593748874,0.6425581650227996,0.22542163356708084,0.6299603174603174,0.7541766978432413,sentence_plus_historical,xgboost_depth1_trees100,walk_forward_2021,0.04339496585772582,0.04139496585772582,0.03758218581505147,-0.005812780042674353,0.8461538461538461,13,13,0.13787127628431214,,,,selected_config,,
83,0.5301204819277109,0.5903614457831325,0.585955710955711,0.17374356696530396,0.6765713466690404,0.24175198411965101,0.6086829836829837,0.5956545156814166,sentence_plus_historical,xgboost_depth1_trees100,walk_forward_2022,0.04832413067928723,0.04632413067928723,0.023338549573749742,-0.02498558110553749,0.5625,16,16,0.10172038919785442,,,,selected_config,,
276,0.5543478260869565,0.605072463768116,0.5983580424039534,0.19763715618033564,0.6665938328392192,0.23692648823418877,0.6314097454700037,0.6622875136607943,sentence_plus_historical,xgboost_depth1_trees100,walk_forward_aggregate,0.03573048282550724,0.03373048282550724,0.02264828694536136,-0.013082195880145878,0.6727272727272727,55,55,0.04659863834257248,0.6284976308413808,0.6660684837053703,4.0,selected_config,0.5709675391133976,0.6867901717190631
53,0.660377358490566,0.6415094339622641,0.6476190476190475,0.2800874499006279,0.6804190485795004,0.24328592879730104,0.6412698412698412,0.7582745445626283,historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2019,0.02360024987340706,0.021600249873407057,0.018433771512038292,-0.005166478361368769,0.7,10,10,0.17769306410442698,,,,selected_config,,
74,0.43243243243243246,0.6486486486486487,0.6421130952380952,0.28422619047619047,0.6673719682781241,0.23706886105033892,0.6316964285714286,0.5820094242207867,historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2020,0.01726738696881655,0.01526738696881655,0.014547136580353887,-0.0027202503884626644,0.6428571428571429,14,14,0.08860178567114331,,,,selected_config,,
66,0.6363636363636364,0.6515151515151515,0.5654761904761905,0.16903085094570333,0.6397611466662694,0.22398313167623182,0.6264880952380952,0.7372750942393476,historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2021,0.015350534987392125,0.013350534987392125,0.007668960435749678,-0.007681574551642447,0.6923076923076923,13,13,0.08005109835457015,,,,selected_config,,
83,0.5301204819277109,0.5421686746987951,0.5405011655011656,0.08100233100233101,0.6868541353922744,0.2469111144954899,0.5693473193473193,0.5755427358628409,historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2022,0.0484395541912981,0.046439554191298096,0.019627373650567107,-0.028812180540730987,0.5625,16,16,0.06554290161413304,,,,selected_config,,
276,0.5543478260869565,0.6159420289855072,0.6089590307667783,0.21917953697123868,0.6691335657421277,0.2380933302091993,0.6261491046283012,0.6540689800233372,historical_plus_earnings,xgboost_depth1_trees100,walk_forward_aggregate,0.03071063240095912,0.02871063240095912,0.013831343133461089,-0.016879289267498033,0.6363636363636364,55,55,0.050056872770383745,0.6172004211066711,0.6686015747290421,4.0,selected_config,,
53,0.660377358490566,0.5849056603773585,0.6182539682539683,0.2259911584126674,0.6783713998115561,0.2425311840666229,0.6650793650793652,0.7850513603444556,sentence_plus_historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2019,0.033743564333632806,0.031743564333632804,0.0274915359021956,-0.006252028431437208,0.7,10,10,0.1839282190799713,,,,selected_config,,
74,0.43243243243243246,0.5675675675675675,0.5558035714285714,0.11261718283694487,0.6734581977548522,0.2401662405749288,0.5985863095238095,0.5676593619748644,sentence_plus_historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2020,0.021806193987805006,0.019806193987805004,0.002522083454371336,-0.01928411053343367,0.5714285714285714,14,14,0.07050223515147255,,,,selected_config,,
66,0.6363636363636364,0.6363636363636364,0.5446428571428571,0.11978935593748874,0.6428850168882698,0.22550626258159942,0.6140873015873016,0.7366877735372961,sentence_plus_historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2021,0.02079254825337003,0.018792548253370032,0.018086665096509292,-0.0027058831568607393,0.6923076923076923,13,13,0.08330086279701401,,,,selected_config,,
83,0.5301204819277109,0.5783132530120482,0.5731351981351981,0.1484491041836725,0.6795958430749961,0.24322112412448055,0.592074592074592,0.5640509059748788,sentence_plus_historical_plus_earnings,xgboost_depth1_trees100,walk_forward_2022,0.048837076246192976,0.046837076246192974,0.019912277620034172,-0.0289247986261588,0.5,16,16,0.12386477379237906,,,,selected_config,,
276,0.5543478260869565,0.5905797101449275,0.5836920133907222,0.1681677585002856,0.6689364380931958,0.2380334101115695,0.6251394866889846,0.6505306573495967,sentence_plus_historical_plus_earnings,xgboost_depth1_trees100,walk_forward_aggregate,0.038634287904353304,0.0366342879043533,0.0242691954127443,-0.014365092491609003,0.6909090909090909,55,55,0.04880989670753477,0.6174568920662671,0.6685776143824186,4.0,selected_config,,
