n,positive_rate,accuracy,balanced_accuracy,mcc,log_loss,brier,auc,average_precision,feature_block,model,split,top_bottom_spread,after_cost_spread,top_mean_return,bottom_mean_return,top_hit_rate,top_n,bottom_n,auc_lower_95,auc_upper_95,target
66,0.6363636363636364,0.6363636363636364,0.5625,0.14708710135363803,0.6391492496390976,0.224340313690932,0.6190476190476191,0.74638290829498,historical_surprise,xgboost,walk_forward_2021,0.015031654219261444,0.013031654219261444,0.005756434468688302,-0.009275219750573141,0.6923076923076923,13,13,,,market_subtracted
83,0.5301204819277109,0.5060240963855421,0.5064102564102564,0.012798157942441405,0.6950638892638913,0.25048454984706353,0.5734265734265734,0.5708830946873436,historical_surprise,xgboost,walk_forward_2022,0.03699135479057454,0.03499135479057454,0.01915725131282339,-0.017834103477751148,0.5625,16,16,,,market_subtracted
53,0.660377358490566,0.6226415094339622,0.6333333333333333,0.2526215822483578,0.8457351328798337,0.279191754889871,0.6031746031746031,0.7058454707781794,all_features,logistic,walk_forward_2019,0.06642449012365982,0.06442449012365982,0.03619522949544129,-0.030229260628218534,0.7,10,10,,,market_subtracted
74,0.43243243243243246,0.7162162162162162,0.7053571428571428,0.4168062163683311,0.7235344573444751,0.2403337582056153,0.6517857142857144,0.6011533028776217,all_features,logistic,walk_forward_2020,0.02742375552609324,0.025423755526093238,0.018382674853210133,-0.009041080672883107,0.7142857142857143,14,14,,,market_subtracted
66,0.6363636363636364,0.696969696969697,0.6279761904761905,0.3011783503907826,0.6346753904594729,0.22050059982065948,0.6527777777777777,0.7495930877126699,all_features,logistic,walk_forward_2021,0.04740107885384438,0.04540107885384438,0.02527988927843721,-0.022121189575407173,0.7692307692307693,13,13,,,market_subtracted
83,0.5301204819277109,0.5301204819277109,0.5262237762237763,0.052818211140299894,0.7484386567894172,0.27204262007748276,0.5372960372960374,0.5747303675121832,all_features,logistic,walk_forward_2022,0.005239054172483416,0.0032390541724834163,-0.00460021102367285,-0.009839265196156266,0.5,16,16,,,market_subtracted
53,0.660377358490566,0.4528301886792453,0.5047619047619047,0.009523809523809525,0.6993395768906457,0.2528712928305212,0.6333333333333333,0.7703083682322222,all_features,xgboost,walk_forward_2019,0.04576133105088244,0.04376133105088244,0.028768995451225698,-0.016992335599656745,0.7,10,10,,,market_subtracted
74,0.43243243243243246,0.6081081081081081,0.5840773809523809,0.17999473372630634,0.6499553635328744,0.22776243719834738,0.6629464285714285,0.5846752449353381,all_features,xgboost,walk_forward_2020,0.028646626173692093,0.026646626173692095,-0.0006444214884112414,-0.029291047662103335,0.6428571428571429,14,14,,,market_subtracted
66,0.6363636363636364,0.6363636363636364,0.5803571428571428,0.17359126870735342,0.6516877258735867,0.22926150111744806,0.6001984126984127,0.7013666910452228,all_features,xgboost,walk_forward_2021,0.014896646750621696,0.012896646750621696,0.011882898588217347,-0.0030137481624043496,0.6923076923076923,13,13,,,market_subtracted
83,0.5301204819277109,0.5060240963855421,0.5064102564102564,0.012798157942441405,0.7351569878283055,0.26873381657854334,0.4976689976689977,0.5039442168842521,all_features,xgboost,walk_forward_2022,-0.01887854926422245,-0.020878549264222453,-0.01599345459984049,0.002885094664381962,0.375,16,16,,,market_subtracted
