symbol,company_name,quarter,year,event_year,call_datetime,call_phase,gics_sector,abnormal_return_5d,beta_abnormal_return_5d,momentum_5d,momentum_5d,momentum_20d,momentum_20d,volatility_20d,volatility_20d,market_momentum_20d,beta_120d,pres_pos,pres_neg,pres_neu,qa_pos,qa_neg,qa_neu,pres_net_sentiment,qa_net_sentiment,pres_sent_mean,pres_sent_std,pres_sent_p10,pres_sent_p90,pres_pos_mean,pres_neg_mean,pres_neutral_mean,pres_pos_frac,pres_neg_frac,pres_entropy,pres_begin_mean,pres_middle_mean,pres_end_mean,pres_slope,pres_n_sentences,qa_sent_mean,qa_sent_std,qa_sent_p10,qa_sent_p90,qa_pos_mean,qa_neg_mean,qa_neutral_mean,qa_pos_frac,qa_neg_frac,qa_entropy,qa_begin_mean,qa_middle_mean,qa_end_mean,qa_slope,qa_n_sentences,qa_minus_pres_sent_mean,qa_minus_pres_sent_std,qa_minus_pres_entropy,qa_minus_pres_neg_frac,qa_minus_pres_pos_frac,qa_minus_pres_slope,pres_lm_negative_rate,pres_lm_positive_rate,pres_lm_uncertainty_rate,pres_lm_litigious_rate,pres_lm_strongmodal_rate,pres_lm_weakmodal_rate,pres_lm_constraining_rate,pres_lm_complexity_rate,pres_lm_token_count,qa_lm_negative_rate,qa_lm_positive_rate,qa_lm_uncertainty_rate,qa_lm_litigious_rate,qa_lm_strongmodal_rate,qa_lm_weakmodal_rate,qa_lm_constraining_rate,qa_lm_complexity_rate,qa_lm_token_count,qa_minus_pres_lm_negative_rate,qa_minus_pres_lm_positive_rate,qa_minus_pres_lm_uncertainty_rate,qa_minus_pres_lm_litigious_rate,qa_minus_pres_lm_strongmodal_rate,qa_minus_pres_lm_weakmodal_rate,qa_minus_pres_lm_constraining_rate,qa_minus_pres_lm_complexity_rate,pres_sent_mean_z,pres_sent_mean_history_count,qa_sent_mean_z,qa_sent_mean_history_count,pres_entropy_z,pres_entropy_history_count,qa_entropy_z,qa_entropy_history_count,pres_neg_frac_z,pres_neg_frac_history_count,qa_neg_frac_z,qa_neg_frac_history_count,pres_slope_z,pres_slope_history_count,qa_slope_z,qa_slope_history_count
ADP,"Automatic Data Processing, Inc.",4,2020,2020,2020-07-29 08:30:00,pre_open,Industrials,-0.09494000093909392,-0.0955048888774486,-0.003059502459919039,-0.003059502459919039,0.0018446365177866575,0.0018446365177866575,0.011613597759232186,0.011613597759232186,0.05410644158345179,1.176290942205831,0.35045958,0.54769444,0.10184599,0.15359364,0.2639902,0.5824162,-0.19723487,-0.11039655,0.08405171504628742,0.6982937713210187,-0.9554242624518495,0.9273304009776884,0.382568955908241,0.2985172408619535,0.3189138032298055,0.6421568627450981,0.35784313725490197,0.40658338926051074,0.11663355065255983,0.24227732022386844,-0.1067557257375661,-0.18613554836785234,204.0,0.07452987382671987,0.4216206361052052,-0.5221316877066692,0.7007677782259896,0.22875535032672067,0.15422547650000082,0.6170191731732785,0.6737804878048781,0.32621951219512196,0.5470756852012513,0.07614644657800412,0.10429759837772563,0.04313074558175743,-0.026442717257507214,328.0,-0.009521841219567548,-0.27667313521581344,0.14049229594074053,-0.03162362505978,0.03162362505978,0.15969283111034513,0.019018548955153793,0.015261798544259216,0.010565860530640996,0.002113172106128199,0.004930734914299131,0.0018783752054472881,0.001643578304766377,0.0009391876027236441,4259.0,0.014174509120483328,0.011037527593818985,0.013245033112582781,0.000464738003950273,0.00395027303357732,0.006971070059254096,0.0012780295108632508,0.000929476007900546,8607.0,-0.004844039834670464,-0.0042242709504402304,0.002679172581941785,-0.0016484341021779261,-0.0009804618807218108,0.005092694853806807,-0.0003655487939031262,-9.711594823098033e-06,-0.4444319462279434,17.0,-2.475910461023399,17.0,1.0010664256651431,17.0,1.8355046746868176,17.0,0.9049806419806251,17.0,2.3291592723695014,17.0,-2.980246960422893,17.0,0.42040751228794027,17.0
ADP,"Automatic Data Processing, Inc.",3,2020,2020,2020-04-29 08:30:00,pre_open,Industrials,0.01788533840442384,0.01903628377304729,0.07035391716288175,0.07035391716288175,0.037657571588199046,0.037657571588199046,0.033437594273465335,0.033437594273465335,0.09013001314835778,1.1634574358946388,0.37377766,0.39420432,0.23201798,0.21406083,0.09373335,0.69220585,-0.02042666,0.12032748,0.06809150595560429,0.641434981564193,-0.9415205343452875,0.9095298163190134,0.3316057585297809,0.2635142525741766,0.4048799888960425,0.6363636363636364,0.36363636363636365,0.4411783077487948,0.1707525994823397,0.17102686723762542,-0.13750494885315218,-0.15436996332422884,132.0,0.11736966804291209,0.40983226677603746,-0.4028741392685329,0.7620094633441534,0.24557601722244282,0.12820634917953072,0.6262176335980264,0.7119341563786008,0.2880658436213992,0.5485841054412505,0.13435634336746252,0.08532241329157333,0.13243024746970047,-0.010365122860623757,243.0,0.0492781620873078,-0.23160271478815553,0.10740579769245567,-0.07557052001496445,0.07557052001496445,0.14400484046360507,0.015503875968992248,0.010031919744642043,0.009347925216598267,0.002279981760145919,0.007067943456452348,0.0027359781121751026,0.002051983584131327,0.001823985408116735,4386.0,0.015606080990178932,0.011435490380734561,0.008072110856989103,0.0006726759047490919,0.00578501278084219,0.004574196152293825,0.0006726759047490919,0.0002690703618996368,7433.0,0.00010220502118668366,0.0014035706360925188,-0.0012758143596091637,-0.001607305855396827,-0.001282930675610158,0.0018382180401187226,-0.0013793076793822351,-0.0015549150462170983,-0.5405331015769475,16.0,-2.0893422262884718,16.0,1.6987093550491326,16.0,2.255316554090486,16.0,1.0031068092047988,16.0,1.5033822502830427,16.0,-3.289614845158029,16.0,0.5909652077087698,16.0
ADP,"Automatic Data Processing, Inc.",3,2023,2023,2023-04-26 08:30:00,pre_open,Industrials,0.011134226591081908,0.018824614947666407,-0.025906588516488638,-0.025906588516488638,-0.012455580808204969,-0.012455580808204969,0.011897430292186043,0.011897430292186043,0.0236578612411531,0.9683256013216354,0.698615,0.09454957,0.20683545,0.24402319,0.03278663,0.72319025,0.6040654,0.21123657,0.46098613439246877,0.5507095221503873,-0.30910683031303654,0.9342853812259453,0.5681000881576037,0.107113953765135,0.32478595807726124,0.8651685393258427,0.1348314606741573,0.3822384700077132,0.48087740998478107,0.5200424365937246,0.3793162263301569,-0.025139784834820187,89.0,0.18660704942309891,0.3745650508727034,-0.06890073743537233,0.8043879113817451,0.2659088805868395,0.07930183116374054,0.6547892882494201,0.8077803203661327,0.19221967963386727,0.5007971280373457,0.19216713340215016,0.19259919998474365,0.1749751442993636,-0.012960793705571615,437.0,-0.27437908496936986,-0.17614447127768385,0.11855865802963245,0.05738821895970997,-0.057388218959710025,0.012178991129248572,0.004362578768783325,0.02617547261269995,0.009209888511875909,0.0004847309743092584,0.007270964614638876,0.0024236548715462916,0.0009694619486185168,0.0009694619486185168,2063.0,0.004666414428048935,0.01841341909446336,0.008197755076302183,0.0005044772354647496,0.005927607516710808,0.006432084752175558,0.0005044772354647496,0.002774624795056123,7929.0,0.0003038356592656097,-0.0077620535182365905,-0.0010121334355737265,1.974626115549123e-05,-0.0013433570979280674,0.0040084298806292665,-0.00046498471315376715,0.0018051628464376065,1.3482194966842747,19.0,-0.44576562934390196,19.0,0.475154626298156,19.0,-0.520384058170047,19.0,-0.6709830342969271,19.0,-1.1102935888346608,19.0,-0.294727584000241,19.0,0.4981450324318431,19.0
ADP,"Automatic Data Processing, Inc.",1,2023,2022,2022-10-26 08:30:00,pre_open,Industrials,0.025510790542993843,0.019317018406019227,0.01165863442497339,0.01165863442497339,0.04454799279718724,0.04454799279718724,0.018282342991630333,0.018282342991630333,0.058076014271083665,0.9433986759563412,0.60832757,0.016874768,0.37479764,0.23349582,0.08683821,0.67966604,0.5914528,0.14665762,0.4020433465696351,0.43777228368136506,-0.0016401581500036203,0.9328836073359353,0.4590061193761575,0.056962772806522344,0.4840311078173201,0.895,0.105,0.45286673978360376,0.17285797821026447,0.4682762401526055,0.5674647982365869,0.3140158017456707,200.0,0.14683010316153855,0.4119934068428149,-0.26826971790608906,0.7936362075542831,0.2606199320500729,0.1137898288885344,0.6255902390613927,0.7156862745098039,0.28431372549019607,0.5221804561553585,0.14503428031543517,0.08103520744480054,0.21442082172437998,0.014512833407428396,408.0,-0.25521324340809654,-0.02577887683855018,0.06931371637175471,0.17931372549019609,-0.17931372549019609,-0.2995029683382423,0.0035460992907801418,0.02293144208037825,0.007565011820330969,0.0,0.004018912529550827,0.0028368794326241137,0.0009456264775413711,0.0014184397163120568,4230.0,0.00759967262948673,0.015667017420788028,0.008885771074476792,0.001052262364082778,0.005027475739506606,0.005144393779960248,0.0007015082427218519,0.00116918040453642,8553.0,0.004053573338706588,-0.007264424659590221,0.0013207592541458228,0.001052262364082778,0.001008563209955779,0.0023075143473361343,-0.00024411823481951917,-0.00024925931177563693,1.1265181968975209,18.0,-1.056948613775618,18.0,1.6414839484974437,18.0,0.49415642385466596,18.0,-0.927238456657513,18.0,1.0259531129536854,18.0,4.386770315796445,18.0,0.7933467566452299,18.0
ALLE,Allegion plc,3,2020,2020,2020-10-22 08:00:00,pre_open,Industrials,-0.02467933359416745,-0.005820027897453284,-0.005551333446681572,-0.005551333446681572,0.08944112695740558,0.08944112695740558,0.013946083587885034,0.013946083587885034,0.06136702220414736,1.2647183476906265,0.29515344,0.5604906,0.14435592,0.4208743,0.04010041,0.5390253,-0.26533717,0.3807739,0.22804237526028803,0.6544192923397639,-0.9532426705330125,0.9263994711436869,0.42644327345838806,0.19840089819810008,0.3751558283435119,0.7023809523809523,0.2976190476190476,0.3606521945221032,0.3363032599798577,0.16422693115633039,0.18359693464467602,-0.02655350855949693,168.0,0.2018694433727676,0.4303955272351906,-0.20283740527033833,0.8750815814643004,0.3051915204413504,0.10332207706858276,0.591486402490067,0.7396226415094339,0.26037735849056604,0.5124472273091836,0.16368452978663453,0.1948702190580968,0.2474875007461411,0.05832388248930105,265.0,-0.02617293188752043,-0.22402376510457334,0.1517950327870804,-0.03724168912848158,0.03724168912848158,0.08487739104879799,0.01373825018076645,0.019522776572668113,0.0072306579898770785,0.0007230657989877079,0.007592190889370932,0.0018076644974692696,0.004699927693420101,0.0039768618944323935,2766.0,0.008032128514056224,0.02134855210314944,0.011625449165081379,0.0002113718030014796,0.004861551469034031,0.007609384908053266,0.001056859015007398,0.0008454872120059184,4731.0,-0.005706121666710225,0.0018257755304813272,0.0043947911752043,-0.0005116939959862283,-0.0027306394203369016,0.005801720410583996,-0.0036430686784127034,-0.0031313746824264753,0.6694176848186733,21.0,-1.4986450885227636,21.0,1.3705713366267331,21.0,1.2363346208628392,21.0,0.2822096165562167,21.0,0.9033782313043937,21.0,-0.47932333782782827,21.0,1.5184379645934516,21.0
ALLE,Allegion plc,2,2020,2020,2020-07-23 08:00:00,pre_open,Industrials,-0.11452615500207941,-0.11546604614609973,0.04494368295090001,0.04494368295090001,0.08708348597476623,0.08708348597476623,0.018410574395639194,0.018410574395639194,0.0462205604282131,1.0709128721197807,0.1423761,0.54348725,0.31413668,0.27312967,0.05073333,0.676137,-0.40111116,0.22239634,0.023803583900645794,0.677511823560346,-0.9649791192214476,0.9227209863000063,0.3120723831169025,0.28826879921625675,0.3996588176668407,0.6021505376344086,0.3978494623655914,0.362663331489473,0.23649512607576634,-0.19834201743101565,0.03325764305718667,-0.09288265596335649,186.0,0.19791284221005842,0.4241204124964226,-0.24085910795242377,0.8667298518125897,0.30181892092692075,0.10390607871686233,0.5942750003562168,0.7718446601941747,0.22815533980582525,0.5223156771190381,0.2174957884612587,0.17421029660733262,0.20209302390498876,-0.018493641686726663,206.0,0.17410925830941262,-0.2533914110639234,0.15965234562956515,-0.16969412255976613,0.16969412255976613,0.07438901427662982,0.022464698331193838,0.01700898587933248,0.0054557124518613605,0.0012836970474967907,0.008985879332477536,0.0009627727856225931,0.0035301668806161745,0.0025673940949935813,3116.0,0.011373390557939914,0.022103004291845495,0.014163090128755365,0.001072961373390558,0.008369098712446352,0.009227467811158798,0.0017167381974248926,0.0008583690987124463,4660.0,-0.011091307773253924,0.005094018412513016,0.008707377676894005,-0.00021073567410623273,-0.0006167806200311834,0.008264695025536204,-0.001813428683191282,-0.001709024996281135,-0.6309334350198378,20.0,-1.7307040434050365,20.0,1.5331080777210235,20.0,1.6472075652127627,20.0,0.7847323648382849,20.0,0.03211331989524328,20.0,-1.35889424318519,20.0,0.5360826695145038,20.0
ALLE,Allegion plc,4,2021,2022,2022-02-15 08:00:00,pre_open,Industrials,-0.01871683935188737,-0.014406765108821128,-0.01768221637904599,-0.01768221637904599,-0.04925279715134623,-0.04925279715134623,0.018239650605570135,0.018239650605570135,-0.056012989976351735,0.9335374950558302,0.022273311,0.03320523,0.94452137,0.3511595,0.16191098,0.48692948,-0.010931918,0.18924853,0.004269227915891072,0.010030110707989374,-0.00595667152772359,0.012793313368690941,0.028038170144616126,0.023768942228725054,0.9481928876266589,0.6666666666666666,0.3333333333333333,0.23844557338853858,0.013860700987631664,-0.0095767801328865,0.008523762892928052,-0.0026684690473518066,3.0,0.19442500565284473,0.5609002795788028,-0.8679064407253966,0.9227364458128109,0.36255976493519604,0.16813475928235125,0.4693054757824528,0.6985981308411215,0.3014018691588785,0.45095163369719726,0.06048201139207901,0.27111582919947824,0.25208036066778067,0.10853442730057968,428.0,0.19015577773695366,0.5508701688708134,0.21250606030865868,-0.031931464174454804,0.031931464174454915,0.11120289634793148,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,46.0,0.011832154183947305,0.023420346425957552,0.007562820200048792,0.00048792388387411563,0.008050744083922909,0.004391314954867041,0.0018297145645279336,0.0034154671871188093,8198.0,0.011832154183947305,0.023420346425957552,-0.014176310234733817,0.00048792388387411563,0.008050744083922909,0.004391314954867041,0.0018297145645279336,0.0034154671871188093,-0.7738956079837964,22.0,-1.5364184005120411,22.0,-1.4787059925026613,22.0,-0.5202177137428284,22.0,0.44788721231881395,22.0,1.9829933035183984,22.0,-0.1760030790611461,22.0,2.0443365040427595,22.0
ALLE,Allegion plc,3,2022,2022,2022-10-27 08:00:00,pre_open,Industrials,0.06659523513498558,0.0687208481380342,0.056671563694260074,0.056671563694260074,0.06023972168567937,0.06023972168567937,0.023880124983128838,0.023880124983128838,0.029997003910146702,0.9926020391418853,0.57526505,0.267287,0.15744793,0.462001,0.023948241,0.5140508,0.30797806,0.43805274,0.32123467999157473,0.6321053556188962,-0.9021643373533124,0.9351135365700686,0.488714790719294,0.16748011072771923,0.3438050985529867,0.7328767123287672,0.2671232876712329,0.3582749458215891,0.34649109115715354,0.35615128132219825,0.2598080630683684,0.06682170729031585,146.0,0.3040034590192198,0.43959227489681946,-0.06704696684190589,0.9018525056794264,0.3924513467897238,0.08844788777050404,0.519100765439772,0.7974683544303798,0.20253164556962025,0.5119336529856346,0.2893377991048053,0.28471999264254594,0.33860545312359847,0.01902810446315942,158.0,-0.01723122097235491,-0.1925130807220768,0.15365870716404556,-0.06459164210161264,0.06459164210161261,-0.04779360282715643,0.009071274298056155,0.025053995680345574,0.0064794816414686825,0.00043196544276457883,0.004751619870410367,0.00043196544276457883,0.0017278617710583153,0.0038876889848812094,2315.0,0.010511054729974628,0.028271112722000724,0.0061616527727437476,0.0,0.003986951794128307,0.003624501631025734,0.0014498006524102935,0.0010873504893077202,2759.0,0.001439780431918473,0.00321711704165515,-0.0003178288687249349,-0.00043196544276457883,-0.0007646680762820601,0.003192536188261155,-0.00027806111864802177,-0.0028003384955734892,1.2128375121836603,25.0,0.6346017162476949,25.0,1.0904061513100043,25.0,1.162832387761166,25.0,0.09056076992582207,25.0,-0.7934639605706787,25.0,0.4757725683544888,25.0,0.76513873168,25.0
ALLE,Allegion plc,2,2022,2022,2022-07-30 08:00:00,pre_open,Industrials,-0.03653080988696168,-0.03436284108032614,0.02234267584319327,0.02234267584319327,0.07967342682873535,0.07967342682873535,0.01603859117882115,0.01603859117882115,0.09111639173021002,0.8281006065701574,0.45371735,0.27678928,0.26949334,0.43716168,0.05382254,0.50901574,0.17692807,0.38333914,0.2386602664005076,0.6138490071814859,-0.9193114825840047,0.9312156101861064,0.41294738479035487,0.17428711838984728,0.41276549681979785,0.6763005780346821,0.3236994219653179,0.39221303601058155,0.2930152223183651,0.2683136454703647,0.15317810097441223,-0.015864424701079523,173.0,0.2258554694520552,0.4649157708205016,-0.19334171646574136,0.8970772741525772,0.34206808565889457,0.11621261620683934,0.5417192981342661,0.7387387387387387,0.26126126126126126,0.5033221456604519,0.21748522389624902,0.22426306412125313,0.23581812033866348,0.01617827019551109,111.0,-0.012804796948452407,-0.14893323636098432,0.11110910964987031,-0.06243816070405667,0.06243816070405661,0.03204269489659062,0.008635578583765112,0.02521588946459413,0.0065630397236614854,0.0003454231433506045,0.0062176165803108805,0.000690846286701209,0.0010362694300518134,0.004835924006908463,2895.0,0.008947368421052631,0.018947368421052633,0.008421052631578947,0.0,0.00631578947368421,0.004736842105263158,0.0015789473684210526,0.0010526315789473684,1900.0,0.00031178983728751865,-0.006268521043541496,0.0018580129079174617,-0.0003454231433506045,9.817289337332984e-05,0.004045995818561949,0.0005426779383692392,-0.0037832924279610942,0.7016536837577951,24.0,-0.8811969259404431,24.0,1.9832893914853642,24.0,0.9531818063561122,24.0,0.38869276850108114,24.0,0.7833023988611872,24.0,-0.39805757624748017,24.0,0.7534377405558589,24.0
ALLE,Allegion plc,1,2022,2022,2022-04-26 08:00:00,pre_open,Industrials,0.03328284981015698,0.03118106620803407,0.07617270043912017,0.07617270043912017,0.021549362868548583,0.021549362868548583,0.017515448979195335,0.017515448979195335,-0.05435542084440048,0.843306870530374,0.5502657,0.2708138,0.17892046,0.5356546,0.11790272,0.3464427,0.27945194,0.41775188,0.3056365502373409,0.6339442569947732,-0.9034886757563639,0.9365128119755985,0.4722003096057171,0.1665637593683762,0.36123593102590673,0.7133333333333334,0.2866666666666667,0.34242733407968523,0.29756878376970775,0.03515492940064584,0.5841859375416693,0.29198430352838123,150.0,0.31200170277915346,0.5012866360981072,-0.18397763071919826,0.9291196082261584,0.42407413054242105,0.11207242776326766,0.46385344169431125,0.776,0.224,0.4856757736021745,0.3606579093993695,0.2938002347228257,0.2808041657137068,-0.0413537153214413,125.0,0.00636515254181258,-0.132657620896666,0.14324843952248928,-0.06266666666666668,0.06266666666666665,-0.3333380188498225,0.00935720097640358,0.024003254678600486,0.006102522375915379,0.0004068348250610252,0.00854353132628153,0.0004068348250610252,0.0024410089503661514,0.005695687550854353,2458.0,0.00667693888032871,0.026194144838212634,0.011813045711350795,0.0,0.0025680534155110425,0.0061633281972265025,0.0,0.0005136106831022085,1947.0,-0.0026802620960748704,0.0021908901596121473,0.005710523335435417,-0.0004068348250610252,-0.005975477910770487,0.005756493372165477,-0.0024410089503661514,-0.005182076867752144,1.186101197368876,23.0,0.7723563542408157,23.0,0.9140938971365994,23.0,0.46322762478310986,23.0,0.20701349948955264,23.0,-0.1970045729827868,23.0,3.4905016190992475,23.0,0.057095145883407646,23.0
