symbol,company_name,year,quarter,call_datetime,pres_pos,pres_neg,pres_neu,qa_pos,qa_neg,qa_neu,sentiment_mismatch_pos,sentiment_mismatch_neg,evasion_index,abnormal_return_5d
AOS,A. O. Smith Corporation,2023,2,2023-07-27 10:00:00,0.49013716,0.18683532,0.32302752,0.3967545,0.05825493,0.54499054,0.09338266,0.12858039,0.26712012,-0.01875862533055394
AOS,A. O. Smith Corporation,2024,1,2024-04-25 10:00:00,0.8758354,0.024727006,0.0994377,0.16891146,0.16177374,0.6693148,0.70692396,-0.13704674,0.5862096,-0.03448285242304862
AXON,"Axon Enterprise, Inc.",2021,2,2021-08-06 18:00:00,0.4055759,0.015228495,0.5791956,0.37217462,0.016735489,0.6110899,0.03340128,-0.0015069935,0.24784333,-0.04270664523092768
BA,The Boeing Company,2023,2,2023-07-26 10:30:00,0.82397324,0.09414149,0.08188532,0.26277623,0.043888647,0.6933351,0.56119704,0.050252844,0.5712896,0.09244710280014015
BLDR,"Builders FirstSource, Inc.",2020,4,2021-02-26 09:00:00,0.78325886,0.020555794,0.19618529,0.303583,0.046449173,0.6499679,0.47967586,-0.025893379,0.5090931,0.06836687653446945
BLDR,"Builders FirstSource, Inc.",2020,3,2020-10-30 10:00:00,0.7862405,0.046712797,0.16704667,0.20756526,0.17104018,0.62139463,0.57867527,-0.12432738,0.48856565,0.07573618771571544
BLDR,"Builders FirstSource, Inc.",2020,2,2020-07-31 10:00:00,0.55672103,0.30521512,0.13806383,0.29220626,0.10616015,0.60163355,0.26451477,0.19905497,0.33494204,0.11659050657236067
BLDR,"Builders FirstSource, Inc.",2020,1,2020-05-01 10:00:00,0.5006443,0.27323118,0.22612451,0.19069822,0.24697874,0.56232303,0.30994612,0.026252434,0.28152382,-0.031032305637924116
BLDR,"Builders FirstSource, Inc.",2021,4,2022-03-01 09:00:00,0.78359497,0.024384279,0.19202073,0.34349674,0.028800499,0.6277028,0.44009823,-0.00441622,0.49186474,-0.005267327976450346
BLDR,"Builders FirstSource, Inc.",2021,2,2021-08-07 09:00:00,0.81572336,0.017094295,0.16718243,0.42828932,0.037069283,0.5346414,0.38743404,-0.019974988,0.43611947,0.08098177661395216
BLDR,"Builders FirstSource, Inc.",2021,1,2021-05-09 09:00:00,0.7037641,0.1055197,0.19071627,0.3416389,0.03883208,0.619529,0.3621252,0.066687614,0.43600225,-0.06784930396171374
BLDR,"Builders FirstSource, Inc.",2024,4,2025-02-20 09:00:00,0.42267343,0.327261,0.25006557,0.1905841,0.09975665,0.7096593,0.23208934,0.22750434,0.29995412,0.007038765187502238
BR,"Broadridge Financial Solutions, Inc.",2020,4,2020-08-11 08:30:00,0.026321517,0.026822971,0.94685555,0.594915,0.061227214,0.34385788,-0.56859344,-0.03440424,0.009050861,0.010604747166779225
BR,"Broadridge Financial Solutions, Inc.",2020,3,2020-05-08 08:00:00,0.5346804,0.1802404,0.2850792,0.39640507,0.03195982,0.5716351,0.13827536,0.14828058,0.30564213,-0.0036989778838365933
BR,"Broadridge Financial Solutions, Inc.",2021,4,2021-08-12 08:30:00,0.67717624,0.13337521,0.18944855,0.33874318,0.034320567,0.62693626,0.33843306,0.09905465,0.42454633,0.017595015877444803
BR,"Broadridge Financial Solutions, Inc.",2021,3,2021-05-04 08:30:00,0.5981588,0.01564351,0.38619766,0.27098265,0.016948072,0.71206933,0.32717612,-0.0013045631,0.42593053,0.033489699120389294
BR,"Broadridge Financial Solutions, Inc.",2021,2,2021-02-02 08:30:00,0.20358083,0.041237183,0.755182,0.31483477,0.027209312,0.65795594,-0.11125395,0.014027871,0.13394721,-0.06652288829943599
BR,"Broadridge Financial Solutions, Inc.",2021,1,2020-10-30 08:30:00,0.2582322,0.018018223,0.72374964,0.18619785,0.06917198,0.74463016,0.07203436,-0.051153757,0.19228749,0.0011048794987284574
BR,"Broadridge Financial Solutions, Inc.",2022,4,2022-08-12 08:30:00,0.7302558,0.05342523,0.21631901,0.357978,0.026785178,0.6152369,0.3722778,0.026640052,0.4492803,0.03207674760408624
BR,"Broadridge Financial Solutions, Inc.",2022,1,2021-11-03 00:00:00,0.2015329,0.011046492,0.78742063,0.16962957,0.07875292,0.7516175,0.031903327,-0.06770643,0.15147565,-0.003691780384679768
BR,"Broadridge Financial Solutions, Inc.",2023,4,2023-08-08 08:30:00,0.8145528,0.09725773,0.08818951,0.24013865,0.047214564,0.71264684,0.57441413,0.05004317,0.58048844,0.10630790706503582
BR,"Broadridge Financial Solutions, Inc.",2023,3,2023-05-02 08:30:00,0.7815284,0.07927512,0.13919653,0.31962845,0.04275445,0.6376171,0.46189997,0.036520667,0.4983159,0.06973708989666576
BR,"Broadridge Financial Solutions, Inc.",2023,1,2022-11-02 20:30:00,0.6556043,0.1426688,0.20172694,0.29503483,0.02287207,0.6820931,0.36056948,0.11979673,0.44718316,-0.026828214150528412
BR,"Broadridge Financial Solutions, Inc.",2024,2,2024-02-01 08:30:00,0.78038263,0.07996221,0.13965519,0.28328216,0.024130108,0.6925878,0.49710047,0.055832103,0.5404835,-0.056887252870893565
BR,"Broadridge Financial Solutions, Inc.",2025,1,2024-11-05 08:30:00,0.6669115,0.19267818,0.14041038,0.4449238,0.032438856,0.52263737,0.2219877,0.16023932,0.34855285,0.034650002782116406
CARR,Carrier Global Corporation,2020,4,2021-02-09 09:00:00,0.78103757,0.120794244,0.09816821,0.4428137,0.06890072,0.48828563,0.33822387,0.051893525,0.3813694,-0.06598446440827699
CARR,Carrier Global Corporation,2020,3,2020-10-29 09:00:00,0.48983532,0.2762286,0.23393607,0.27342305,0.11104837,0.6155286,0.21641228,0.16518024,0.30150765,0.07671572069185399
CARR,Carrier Global Corporation,2020,2,2020-07-30 09:00:00,0.5269383,0.3203898,0.15267186,0.1682434,0.1260821,0.7056745,0.3586949,0.1943077,0.37184694,0.012261084089352555
CARR,Carrier Global Corporation,2020,1,2020-05-08 08:30:00,0.36642405,0.41173768,0.22183833,0.17939258,0.12825996,0.69234747,0.18703148,0.28347772,0.25369278,0.02435234045629898
CARR,Carrier Global Corporation,2021,4,2022-02-08 08:30:00,0.84236646,0.030998196,0.12663542,0.34150392,0.068749964,0.5897461,0.50086254,-0.037751768,0.49678236,0.003511060139641898
CARR,Carrier Global Corporation,2021,3,2021-10-28 08:30:00,0.75554234,0.15656453,0.08789322,0.36152363,0.11518212,0.52329427,0.3940187,0.041382417,0.395371,-0.02952485926612897
CARR,Carrier Global Corporation,2021,2,2021-07-29 09:00:00,0.8208836,0.018003212,0.1611132,0.25438267,0.075563885,0.67005336,0.5665009,-0.057560675,0.5500358,0.08564049984337478
CARR,Carrier Global Corporation,2021,1,2021-04-29 08:50:00,0.8932469,0.02118507,0.08556796,0.34964138,0.05450518,0.59585345,0.5436055,-0.03332011,0.53224427,-0.009120103184163241
CARR,Carrier Global Corporation,2022,4,2023-02-07 08:00:00,0.57399696,0.3633655,0.06263753,0.2834675,0.20163807,0.51489437,0.29052946,0.16172743,0.2955478,-0.028194870813976886
CARR,Carrier Global Corporation,2022,3,2022-10-27 07:30:00,0.67866254,0.26186207,0.059475455,0.27886936,0.22288129,0.49824935,0.39979318,0.038980782,0.33814317,0.09324321552485076
CARR,Carrier Global Corporation,2022,2,2022-07-28 07:30:00,0.80309886,0.13764629,0.059254892,0.28589413,0.17174362,0.5423622,0.51720476,-0.03409733,0.43557048,0.02551613361916171
CARR,Carrier Global Corporation,2022,1,2022-04-28 09:05:00,0.77980393,0.11638105,0.10381507,0.3702971,0.07282103,0.5568819,0.40950683,0.04356002,0.4342587,-0.044737750959529025
CARR,Carrier Global Corporation,2023,4,2024-02-06 07:30:00,0.6971851,0.19269711,0.110117786,0.23473229,0.103802584,0.6614651,0.46245283,0.08889452,0.4611636,-0.04279984885813143
CARR,Carrier Global Corporation,2023,3,2023-10-26 07:30:00,0.6857699,0.1988275,0.11540262,0.37975997,0.08158788,0.5386521,0.30600995,0.117239624,0.3693914,0.03519024077589103
CARR,Carrier Global Corporation,2023,2,2023-07-27 07:30:00,0.6342076,0.3168746,0.048917774,0.35061952,0.085546836,0.5638337,0.28358808,0.23132776,0.35758764,0.08162875092904566
CARR,Carrier Global Corporation,2023,1,2023-04-27 14:50:00,0.7281311,0.009287562,0.2625814,0.16122176,0.022829277,0.81594884,0.5669094,-0.013541715,0.59411776,0.01435328700278468
CARR,Carrier Global Corporation,2024,4,2025-02-11 07:30:00,0.6842089,0.224137,0.09165402,0.2290533,0.09760316,0.6733434,0.4551556,0.12653384,0.46070758,-0.0165845170332261
CARR,Carrier Global Corporation,2024,3,2024-10-24 07:30:00,0.52434754,0.14607053,0.32958195,0.21825434,0.08615908,0.6955866,0.30609322,0.059911445,0.36472914,-0.0721906175652427
CARR,Carrier Global Corporation,2024,2,2024-07-25 07:30:00,0.67259,0.2477119,0.07969808,0.28529447,0.183254,0.53145146,0.38729554,0.06445789,0.35744894,-0.0025418999882422825
CARR,Carrier Global Corporation,2024,1,2024-04-25 07:30:00,0.9077296,0.009111015,0.083159365,0.23634791,0.122034274,0.64161783,0.6713817,-0.11292326,0.5824155,0.11758730716341806
CARR,Carrier Global Corporation,2025,1,2025-05-01 07:30:00,0.76231354,0.1760573,0.06162915,0.30736798,0.18967672,0.50295526,0.45494556,-0.013619423,0.38340962,0.11388690689993276
CAT,Caterpillar Inc.,2020,4,2021-01-29 08:30:00,0.47256377,0.42400613,0.1034301,0.37366292,0.04237015,0.583967,0.098900855,0.381636,0.27596164,0.020719972102653736
CAT,Caterpillar Inc.,2020,3,2020-10-27 08:30:00,0.3481616,0.5348226,0.11701589,0.36504212,0.10971813,0.52523977,-0.016880512,0.42510444,0.18286832,0.03686559600708784
